1259 1259 2514
1 0 8.64944e-05 -0.00011
2 -1.46179e-05 8.52509e-05 -0.00011
3 0 1.30358e-27 4.25781e-12
4 4.21906e-05 7.55157e-05 -0.00011
5 2.88162e-05 8.15582e-05 -0.00011
6 0 -9.13391e-05 -0.000119659
7 8.15582e-05 4.11148e-05 -0.000119659
8 9.05991e-05 1.15967e-05 -0.000119659
9 1.46179e-05 8.52509e-05 -0.00011
10 9.12552e-05 -3.87573e-06 -0.000119659
11 8.92868e-05 -1.92413e-05 -0.000119659
12 8.47549e-05 -3.40576e-05 -0.000119659
13 7.36618e-05 4.53491e-05 -0.00011
14 6.49338e-05 5.71442e-05 -0.00011
15 7.77817e-05 -4.78897e-05 -0.000119659
16 6.85654e-05 -6.03485e-05 -0.000119659
17 5.73807e-05 -7.10678e-05 -0.000119659
18 5.43442e-05 6.72989e-05 -0.00011
19 4.4548e-05 -7.97424e-05 -0.000119659
20 -3.0426e-05 -8.61206e-05 -0.000119659
21 -4.45404e-05 -7.97424e-05 -0.000119659
22 8.64258e-05 3.66974e-06 -0.00011
23 8.45642e-05 1.8219e-05 -0.00011
24 -5.73807e-05 -7.10678e-05 -0.000119659
25 -6.85654e-05 -6.03485e-05 -0.000119659
26 -7.7774e-05 -4.78897e-05 -0.000119659
27 8.02612e-05 3.22495e-05 -0.00011
28 -8.47473e-05 -3.40576e-05 -0.000119659
29 -8.92868e-05 -1.92413e-05 -0.000119659
30 -9.12552e-05 -3.87573e-06 -0.000119659
31 7.724e-05 -3.89481e-05 -0.00011
32 8.27103e-05 -2.53296e-05 -0.00011
33 -9.05914e-05 1.15967e-05 -0.000119659
34 -8.73337e-05 2.6741e-05 -0.000119659
35 -8.15582e-05 4.11148e-05 -0.000119659
36 8.58002e-05 -1.09863e-05 -0.00011
37 -7.34329e-05 5.4306e-05 -0.000119659
38 -6.31943e-05 6.59409e-05 -0.000119659
39 -5.11475e-05 7.56683e-05 -0.000119659
40 4.8439e-05 -7.16705e-05 -0.00011
41 5.98526e-05 -6.24542e-05 -0.00011
42 -3.76205e-05 8.32291e-05 -0.000119659
43 -2.30103e-05 8.83865e-05 -0.000119659
44 -7.74384e-06 9.10034e-05 -0.000119659
45 6.95496e-05 -5.14374e-05 -0.00011
46 7.75146e-06 9.10034e-05 -0.000119659
47 2.30179e-05 8.83865e-05 -0.000119659
48 3.76205e-05 8.32291e-05 -0.000119659
49 7.33948e-06 -8.61893e-05 -0.00011
50 2.17972e-05 -8.37097e-05 -0.00011
51 6.32019e-05 6.59409e-05 -0.000119659
52 8.63647e-05 2.64435e-05 -0.00011924
53 3.00903e-05 -8.51669e-05 -0.00011924
54 3.56293e-05 -7.88269e-05 -0.00011
55 1.52664e-05 -8.90274e-05 -0.00011924
56 -1.52588e-05 -8.90274e-05 -0.00011924
57 5.05829e-05 7.48291e-05 -0.00011924
58 -3.56293e-05 -7.88269e-05 -0.00011
59 -2.17972e-05 -8.37097e-05 -0.00011
60 7.26242e-05 5.37033e-05 -0.00011924
61 8.86612e-05 1.13525e-05 -0.00011866
62 8.93097e-05 -3.79944e-06 -0.00011866
63 -7.33185e-06 -8.61893e-05 -0.00011
64 8.73795e-05 -1.8837e-05 -0.00011866
65 8.29391e-05 -3.33328e-05 -0.00011866
66 7.61185e-05 -4.68674e-05 -0.00011866
67 -6.95419e-05 -5.14374e-05 -0.00011
68 -5.98526e-05 -6.24542e-05 -0.00011
69 6.71005e-05 -5.90591e-05 -0.00011866
70 5.61523e-05 -6.95496e-05 -0.00011866
71 4.35944e-05 -7.80334e-05 -0.00011866
72 -4.8439e-05 -7.16705e-05 -0.00011
73 0 -8.9386e-05 -0.00011866
74 -2.97775e-05 -8.42819e-05 -0.00011866
75 -4.35944e-05 -7.80334e-05 -0.00011866
76 -8.58002e-05 -1.09863e-05 -0.00011
77 -8.27026e-05 -2.53296e-05 -0.00011
78 -5.61523e-05 -6.95496e-05 -0.00011866
79 -6.71005e-05 -5.90591e-05 -0.00011866
80 -7.61108e-05 -4.68674e-05 -0.00011866
81 -7.72324e-05 -3.89481e-05 -0.00011
82 -8.29391e-05 -3.33328e-05 -0.00011866
83 -8.73795e-05 -1.8837e-05 -0.00011866
84 -8.93021e-05 -3.79944e-06 -0.00011866
85 -8.02612e-05 3.22495e-05 -0.00011
86 -8.45566e-05 1.8219e-05 -0.00011
87 -8.86612e-05 1.13525e-05 -0.00011866
88 -8.54645e-05 2.61688e-05 -0.00011866
89 -7.98111e-05 4.02374e-05 -0.00011866
90 -8.64182e-05 3.66974e-06 -0.00011
91 -7.18613e-05 5.31464e-05 -0.00011866
92 -6.18439e-05 6.45294e-05 -0.00011866
93 -5.00488e-05 7.40509e-05 -0.00011866
94 -5.43365e-05 6.72989e-05 -0.00011
95 -6.49338e-05 5.71442e-05 -0.00011
96 -3.68195e-05 8.14514e-05 -0.00011866
97 -2.2522e-05 8.65021e-05 -0.00011866
98 -7.57599e-06 8.90579e-05 -0.00011866
99 -7.36542e-05 4.53491e-05 -0.00011
100 7.58362e-06 8.90579e-05 -0.00011866
101 2.2522e-05 8.65021e-05 -0.00011866
102 3.68195e-05 8.14514e-05 -0.00011866
103 6.18515e-05 6.45294e-05 -0.00011866
104 -2.88162e-05 8.15582e-05 -0.00011
105 7.98187e-05 4.02374e-05 -0.00011866
106 -1.49612e-05 -8.72803e-05 -0.00011795
107 4.95911e-05 7.33643e-05 -0.00011795
108 -4.21829e-05 7.55157e-05 -0.00011
109 7.11975e-05 5.26505e-05 -0.00011795
110 8.4671e-05 2.59247e-05 -0.00011795
111 2.95029e-05 -8.34961e-05 -0.00011795
112 1.49689e-05 -8.72803e-05 -0.00011795
113 0 -8.78372e-05 -0.000117111
114 -7.33185e-06 8.61893e-05 -0.000112999
115 -2.92587e-05 -8.28247e-05 -0.000117111
116 -1.46179e-05 8.52509e-05 -0.000112999
117 -4.28391e-05 -7.6683e-05 -0.000117111
118 -5.51758e-05 -6.83441e-05 -0.000117111
119 -6.59332e-05 -5.80368e-05 -0.000117111
120 -2.17972e-05 8.37097e-05 -0.000112999
121 -7.4791e-05 -4.60587e-05 -0.000117111
122 -8.14972e-05 -3.2753e-05 -0.000117111
123 -8.58612e-05 -1.85089e-05 -0.000117111
124 -8.77533e-05 -3.73077e-06 -0.000117111
125 -2.88162e-05 8.15582e-05 -0.000112999
126 -8.71201e-05 1.11542e-05 -0.000117111
127 -8.39844e-05 2.57187e-05 -0.000117111
128 -7.84302e-05 3.95432e-05 -0.000117111
129 -3.56293e-05 7.88193e-05 -0.000112999
130 -7.06177e-05 5.22308e-05 -0.000117111
131 -6.07758e-05 6.34155e-05 -0.000117111
132 -4.91867e-05 7.27692e-05 -0.000117111
133 -3.61786e-05 8.004e-05 -0.000117111
134 -4.21829e-05 7.55157e-05 -0.000112999
135 -2.21329e-05 8.49991e-05 -0.000117111
136 -7.44629e-06 8.75168e-05 -0.000117111
137 7.45392e-06 8.75168e-05 -0.000117111
138 -4.8439e-05 7.16629e-05 -0.000112999
139 2.21329e-05 8.49991e-05 -0.000117111
140 3.61786e-05 8.004e-05 -0.000117111
141 6.07834e-05 6.34155e-05 -0.000117111
142 7.84378e-05 3.95432e-05 -0.000117111
143 -5.43365e-05 6.72989e-05 -0.000112999
144 8.71277e-05 1.11542e-05 -0.000117111
145 8.77609e-05 -3.73077e-06 -0.000117111
146 8.58688e-05 -1.85089e-05 -0.000117111
147 -5.98526e-05 6.24466e-05 -0.000112999
148 8.15048e-05 -3.2753e-05 -0.000117111
149 7.47986e-05 -4.60587e-05 -0.000117111
150 6.59409e-05 -5.80368e-05 -0.000117111
151 5.51834e-05 -6.83441e-05 -0.000117111
152 -6.49338e-05 5.71442e-05 -0.000112999
153 4.28391e-05 -7.6683e-05 -0.000117111
154 -1.47476e-05 -8.60138e-05 -0.00011618
155 4.88663e-05 7.22961e-05 -0.00011618
156 -6.95419e-05 5.14297e-05 -0.000112999
157 7.01599e-05 5.18875e-05 -0.00011618
158 8.34427e-05 2.55508e-05 -0.00011618
159 2.90756e-05 -8.2283e-05 -0.00011618
160 1.47476e-05 -8.60138e-05 -0.00011618
161 -7.36542e-05 4.53491e-05 -0.000112999
162 5.45578e-05 -6.75659e-05 -0.000115166
163 4.23584e-05 -7.58133e-05 -0.000115166
164 7.39517e-05 -4.55322e-05 -0.000115166
165 -7.72324e-05 3.89404e-05 -0.000112999
166 6.51932e-05 -5.73807e-05 -0.000115166
167 8.05817e-05 -3.23792e-05 -0.000115166
168 8.48923e-05 -1.82953e-05 -0.000115166
169 8.67691e-05 -3.685e-06 -0.000115166
170 -8.02612e-05 3.22495e-05 -0.000112999
171 8.61435e-05 1.10321e-05 -0.000115166
172 7.75452e-05 3.9093e-05 -0.000115166
173 6.00891e-05 6.26907e-05 -0.000115166
174 -8.27026e-05 2.53296e-05 -0.000112999
175 3.57742e-05 7.91321e-05 -0.000115166
176 2.18811e-05 8.40378e-05 -0.000115166
177 -7.36237e-06 8.6525e-05 -0.000115166
178 7.37e-06 8.6525e-05 -0.000115166
179 -8.45566e-05 1.8219e-05 -0.000112999
180 -2.18811e-05 8.40378e-05 -0.000115166
181 -3.57666e-05 7.91321e-05 -0.000115166
182 -6.00891e-05 6.26907e-05 -0.000115166
183 -8.58002e-05 1.09863e-05 -0.000112999
184 -4.86298e-05 7.19452e-05 -0.000115166
185 -7.75452e-05 3.9093e-05 -0.000115166
186 -6.98166e-05 5.16357e-05 -0.000115166
187 -8.61359e-05 1.10321e-05 -0.000115166
188 -8.64182e-05 3.66974e-06 -0.000112999
189 -8.30307e-05 2.54288e-05 -0.000115166
190 -8.67615e-05 -3.685e-06 -0.000115166
191 -8.05817e-05 -3.23792e-05 -0.000115166
192 -8.64182e-05 -3.66974e-06 -0.000112999
193 -8.48923e-05 -1.82953e-05 -0.000115166
194 -6.51855e-05 -5.73807e-05 -0.000115166
195 -7.39441e-05 -4.55322e-05 -0.000115166
196 -4.23508e-05 -7.58133e-05 -0.000115166
197 -8.58002e-05 -1.09863e-05 -0.000112999
198 -5.45578e-05 -6.75659e-05 -0.000115166
199 -2.89307e-05 -8.18863e-05 -0.000115166
200 0 -8.68454e-05 -0.000115166
201 -8.45566e-05 -1.82266e-05 -0.000112999
