T0_K,time_us,R_um,Rdot_m_s,T_drop_K,film_thick_um,log10_time_us,Pb_bar,P_sat_bar
273.0,0.000000e+00,2.397557e-01,0.000000e+00,273.000000,8.226024e+01,-20.000000,4.294002,4.294002
273.0,1.000000e-01,4.961382e-01,4.772177e+00,273.000000,8.200386e+01,-1.000000,3.407359,4.294002
273.0,2.000000e-01,1.062447e+00,6.077083e+00,273.000000,8.143755e+01,-0.698970,2.897527,4.294002
273.0,3.000000e-01,1.668952e+00,5.978761e+00,273.000000,8.083105e+01,-0.522879,2.657248,4.294002
273.0,4.000000e-01,2.252326e+00,5.676636e+00,273.000000,8.024767e+01,-0.397940,2.517960,4.294002
273.0,5.000000e-01,2.804311e+00,5.362600e+00,273.000000,7.969569e+01,-0.301030,2.426036,4.294002
273.0,6.000000e-01,3.325974e+00,5.072567e+00,273.000000,7.917403e+01,-0.221849,2.360448,4.294002
273.0,7.000000e-01,3.820079e+00,4.811697e+00,273.000000,7.867992e+01,-0.154902,2.311206,4.294002
273.0,8.000000e-01,4.289472e+00,4.578119e+00,273.000000,7.821053e+01,-0.096910,2.272892,4.294002
273.0,9.000000e-01,4.736724e+00,4.368545e+00,273.000000,7.776328e+01,-0.045757,2.242289,4.294002
273.0,1.000000e+00,5.164072e+00,4.179739e+00,273.000000,7.733593e+01,-0.000000,2.217348,4.294002
273.0,1.100000e+00,5.573449e+00,4.008866e+00,273.000000,7.692655e+01,0.041393,2.196694,4.294002
273.0,1.200000e+00,5.966526e+00,3.853533e+00,273.000000,7.653347e+01,0.079181,2.179367,4.294002
273.0,1.300000e+00,6.344755e+00,3.711739e+00,273.000000,7.615524e+01,0.113943,2.164674,4.294002
273.0,1.400000e+00,6.709405e+00,3.581812e+00,273.000000,7.579060e+01,0.146128,2.152098,4.294002
273.0,1.500000e+00,7.061591e+00,3.462344e+00,273.000000,7.543841e+01,0.176091,2.141249,4.294002
273.0,1.600000e+00,7.402297e+00,3.352148e+00,273.000000,7.509770e+01,0.204120,2.131824,4.294002
273.0,1.700000e+00,7.732401e+00,3.250209e+00,273.000000,7.476760e+01,0.230449,2.123584,4.294002
273.0,1.800000e+00,8.052684e+00,3.155659e+00,273.000000,7.444732e+01,0.255273,2.116339,4.294002
273.0,1.900000e+00,8.363846e+00,3.067746e+00,273.000000,7.413615e+01,0.278754,2.109934,4.294002
273.0,2.000000e+00,8.666517e+00,2.985819e+00,273.000000,7.383348e+01,0.301030,2.104246,4.294002
273.0,2.100000e+00,8.961269e+00,2.909306e+00,273.000000,7.353873e+01,0.322219,2.099170,4.294002
273.0,2.200000e+00,9.248616e+00,2.837706e+00,273.000000,7.325138e+01,0.342423,2.094620,4.294002
273.0,2.300000e+00,9.529028e+00,2.770576e+00,273.000000,7.297097e+01,0.361728,2.090526,4.294002
273.0,2.400000e+00,9.802932e+00,2.707523e+00,273.000000,7.269707e+01,0.380211,2.086826,4.294002
273.0,2.500000e+00,1.007072e+01,2.648198e+00,273.000000,7.242928e+01,0.397940,2.083470,4.294002
273.0,2.600000e+00,1.033274e+01,2.592287e+00,273.000000,7.216726e+01,0.414973,2.080413,4.294002
273.0,2.700000e+00,1.058933e+01,2.539510e+00,273.000000,7.191067e+01,0.431364,2.077621,4.294002
273.0,2.800000e+00,1.084079e+01,2.489614e+00,273.000000,7.165921e+01,0.447158,2.075059,4.294002
273.0,2.900000e+00,1.108739e+01,2.442373e+00,273.000000,7.141261e+01,0.462398,2.072702,4.294002
273.0,3.000000e+00,1.132939e+01,2.397580e+00,273.000000,7.117061e+01,0.477121,2.070526,4.294002
273.0,3.100000e+00,1.156703e+01,2.355049e+00,273.000000,7.093297e+01,0.491362,2.068511,4.294002
273.0,3.200000e+00,1.180052e+01,2.314611e+00,273.000000,7.069948e+01,0.505150,2.066639,4.294002
273.0,3.300000e+00,1.203006e+01,2.276113e+00,273.000000,7.046994e+01,0.518514,2.064894,4.294002
273.0,3.400000e+00,1.225584e+01,2.239414e+00,273.000000,7.024416e+01,0.531479,2.063263,4.294002
273.0,3.500000e+00,1.247803e+01,2.204388e+00,273.000000,7.002197e+01,0.544068,2.061736,4.294002
273.0,3.600000e+00,1.269680e+01,2.170916e+00,273.000000,6.980320e+01,0.556303,2.060301,4.294002
273.0,3.700000e+00,1.291229e+01,2.138894e+00,273.000000,6.958771e+01,0.568202,2.058950,4.294002
273.0,3.800000e+00,1.312465e+01,2.108223e+00,273.000000,6.937535e+01,0.579784,2.057674,4.294002
273.0,3.900000e+00,1.333401e+01,2.078814e+00,273.000000,6.916599e+01,0.591065,2.056468,4.294002
273.0,4.000000e+00,1.354049e+01,2.050585e+00,273.000000,6.895951e+01,0.602060,2.055324,4.294002
273.0,4.100000e+00,1.374419e+01,2.023461e+00,273.000000,6.875581e+01,0.612784,2.054238,4.294002
273.0,4.200000e+00,1.394524e+01,1.997372e+00,273.000000,6.855476e+01,0.623249,2.053205,4.294002
273.0,4.300000e+00,1.414372e+01,1.972255e+00,273.000000,6.835628e+01,0.633468,2.052221,4.294002
273.0,4.400000e+00,1.433975e+01,1.948052e+00,273.000000,6.816025e+01,0.643453,2.051282,4.294002
273.0,4.500000e+00,1.453339e+01,1.924708e+00,273.000000,6.796661e+01,0.653213,2.050384,4.294002
273.0,4.600000e+00,1.472474e+01,1.902174e+00,273.000000,6.777526e+01,0.662758,2.049524,4.294002
273.0,4.700000e+00,1.491387e+01,1.880403e+00,273.000000,6.758613e+01,0.672098,2.048701,4.294002
273.0,4.800000e+00,1.510086e+01,1.859353e+00,273.000000,6.739914e+01,0.681241,2.047911,4.294002
273.0,4.900000e+00,1.528578e+01,1.838984e+00,273.000000,6.721422e+01,0.690196,2.047152,4.294002
273.0,5.000000e+00,1.546870e+01,1.819261e+00,273.000000,6.703130e+01,0.698970,2.046423,4.294002
273.0,5.100000e+00,1.564968e+01,1.800149e+00,273.000000,6.685032e+01,0.707570,2.045722,4.294002
273.0,5.200000e+00,1.582877e+01,1.781617e+00,273.000000,6.667123e+01,0.716003,2.045046,4.294002
273.0,5.300000e+00,1.600604e+01,1.763636e+00,273.000000,6.649396e+01,0.724276,2.044395,4.294002
273.0,5.400000e+00,1.618153e+01,1.746179e+00,273.000000,6.631847e+01,0.732394,2.043767,4.294002
273.0,5.500000e+00,1.635531e+01,1.729220e+00,273.000000,6.614469e+01,0.740363,2.043161,4.294002
273.0,5.600000e+00,1.652741e+01,1.712736e+00,273.000000,6.597259e+01,0.748188,2.042576,4.294002
273.0,5.700000e+00,1.669788e+01,1.696706e+00,273.000000,6.580212e+01,0.755875,2.042011,4.294002
273.0,5.800000e+00,1.686678e+01,1.681108e+00,273.000000,6.563322e+01,0.763428,2.041464,4.294002
273.0,5.900000e+00,1.703414e+01,1.665923e+00,273.000000,6.546586e+01,0.770852,2.040936,4.294002
273.0,6.000000e+00,1.719999e+01,1.651134e+00,273.000000,6.530001e+01,0.778151,2.040424,4.294002
273.0,6.100000e+00,1.736439e+01,1.636723e+00,273.000000,6.513561e+01,0.785330,2.039928,4.294002
273.0,6.200000e+00,1.752736e+01,1.622676e+00,273.000000,6.497264e+01,0.792392,2.039448,4.294002
273.0,6.300000e+00,1.768895e+01,1.608976e+00,273.000000,6.481105e+01,0.799341,2.038983,4.294002
273.0,6.400000e+00,1.784918e+01,1.595610e+00,273.000000,6.465082e+01,0.806180,2.038532,4.294002
273.0,6.500000e+00,1.800810e+01,1.582565e+00,273.000000,6.449190e+01,0.812913,2.038095,4.294002
273.0,6.600000e+00,1.816572e+01,1.569828e+00,273.000000,6.433428e+01,0.819544,2.037670,4.294002
273.0,6.700000e+00,1.832208e+01,1.557388e+00,273.000000,6.417792e+01,0.826075,2.037258,4.294002
273.0,6.800000e+00,1.847722e+01,1.545233e+00,273.000000,6.402278e+01,0.832509,2.036857,4.294002
273.0,6.900000e+00,1.863115e+01,1.533354e+00,273.000000,6.386885e+01,0.838849,2.036468,4.294002
273.0,7.000000e+00,1.878391e+01,1.521739e+00,273.000000,6.371609e+01,0.845098,2.036090,4.294002
273.0,7.100000e+00,1.893552e+01,1.510380e+00,273.000000,6.356448e+01,0.851258,2.035722,4.294002
273.0,7.200000e+00,1.908601e+01,1.499267e+00,273.000000,6.341399e+01,0.857332,2.035365,4.294002
273.0,7.300000e+00,1.923539e+01,1.488393e+00,273.000000,6.326461e+01,0.863323,2.035016,4.294002
273.0,7.400000e+00,1.938370e+01,1.477748e+00,273.000000,6.311630e+01,0.869232,2.034677,4.294002
273.0,7.500000e+00,1.953096e+01,1.467325e+00,273.000000,6.296904e+01,0.875061,2.034347,4.294002
273.0,7.600000e+00,1.967718e+01,1.457117e+00,273.000000,6.282282e+01,0.880814,2.034025,4.294002
273.0,7.700000e+00,1.982240e+01,1.447117e+00,273.000000,6.267760e+01,0.886491,2.033712,4.294002
273.0,7.800000e+00,1.996662e+01,1.437318e+00,273.000000,6.253338e+01,0.892095,2.033406,4.294002
273.0,7.900000e+00,2.010988e+01,1.427713e+00,273.000000,6.239012e+01,0.897627,2.033107,4.294002
273.0,8.000000e+00,2.025218e+01,1.418296e+00,273.000000,6.224782e+01,0.903090,2.032816,4.294002
273.0,8.100000e+00,2.039355e+01,1.409062e+00,273.000000,6.210645e+01,0.908485,2.032532,4.294002
273.0,8.200000e+00,2.053401e+01,1.400004e+00,273.000000,6.196599e+01,0.913814,2.032254,4.294002
273.0,8.300000e+00,2.067357e+01,1.391118e+00,273.000000,6.182643e+01,0.919078,2.031983,4.294002
273.0,8.400000e+00,2.081225e+01,1.382398e+00,273.000000,6.168775e+01,0.924279,2.031718,4.294002
273.0,8.500000e+00,2.095006e+01,1.373839e+00,273.000000,6.154994e+01,0.929419,2.031459,4.294002
273.0,8.600000e+00,2.108703e+01,1.365436e+00,273.000000,6.141297e+01,0.934498,2.031206,4.294002
273.0,8.700000e+00,2.122316e+01,1.357184e+00,273.000000,6.127684e+01,0.939519,2.030958,4.294002
273.0,8.800000e+00,2.135848e+01,1.349080e+00,273.000000,6.114152e+01,0.944483,2.030715,4.294002
273.0,8.900000e+00,2.149299e+01,1.341119e+00,273.000000,6.100701e+01,0.949390,2.030478,4.294002
273.0,9.000000e+00,2.162672e+01,1.333297e+00,273.000000,6.087328e+01,0.954243,2.030245,4.294002
273.0,9.100000e+00,2.175966e+01,1.325609e+00,273.000000,6.074034e+01,0.959041,2.030017,4.294002
273.0,9.200000e+00,2.189185e+01,1.318053e+00,273.000000,6.060815e+01,0.963788,2.029794,4.294002
273.0,9.300000e+00,2.202329e+01,1.310624e+00,273.000000,6.047671e+01,0.968483,2.029575,4.294002
