condition,time_s,time_us,R_m,R_um,Rdot_ms,epsilon,rho_m,P_sat_Pa,P_sat_kPa,film_um
T=255K,0.000000000000e+00,0.000000e+00,5.520382645338e-06,5.520383,0.000000,0.001345853,608.781812,2.076842e+05,207.684,44.479617
T=255K,1.000000000000e-10,1.000000e-04,5.520385643766e-06,5.520386,0.029984,0.001345853,608.781812,2.076842e+05,207.684,44.479614
T=255K,1.010000000000e-08,1.010000e-02,5.550669587615e-06,5.550670,3.028394,0.001345855,608.781811,2.076842e+05,207.684,44.449330
T=255K,2.010000000000e-08,2.010000e-02,5.610033882641e-06,5.610034,5.936430,0.001368126,608.768271,2.076842e+05,207.684,44.389966
T=255K,3.010000000000e-08,3.010000e-02,5.696557416396e-06,5.696557,8.652353,0.001412493,608.741299,2.076842e+05,207.684,44.303443
T=255K,4.010000000000e-08,4.010000e-02,5.807539582339e-06,5.807540,11.098217,0.001478861,608.700952,2.076842e+05,207.684,44.192460
T=255K,5.010000000000e-08,5.010000e-02,5.939806401197e-06,5.939806,13.226682,0.001566991,608.647375,2.076842e+05,207.684,44.060194
T=255K,6.010000000000e-08,6.010000e-02,6.090014715603e-06,6.090015,15.020831,0.001676513,608.580793,2.076842e+05,207.684,43.909985
T=255K,7.010000000000e-08,7.010000e-02,6.254902111689e-06,6.254902,16.488740,0.001806945,608.501499,2.076842e+05,207.684,43.745098
T=255K,8.010000000000e-08,8.010000e-02,6.431458852016e-06,6.431459,17.655674,0.001957724,608.409835,2.076842e+05,207.684,43.568541
T=255K,9.010000000000e-08,9.010000e-02,6.617023006985e-06,6.617023,18.556415,0.002128230,608.306180,2.076842e+05,207.684,43.382977
T=255K,1.001000000000e-07,1.001000e-01,6.809314265314e-06,6.809314,19.229126,0.002317810,608.190927,2.076842e+05,207.684,43.190686
T=255K,1.101000000000e-07,1.101000e-01,7.006426094790e-06,7.006426,19.711183,0.002525807,608.064479,2.076842e+05,207.684,42.993574
T=255K,1.201000000000e-07,1.201000e-01,7.206793861977e-06,7.206794,20.036777,0.002751564,607.927234,2.076842e+05,207.684,42.793206
T=255K,1.301000000000e-07,1.301000e-01,7.409151997182e-06,7.409152,20.235814,0.002994445,607.779579,2.076842e+05,207.684,42.590848
T=255K,1.401000000000e-07,1.401000e-01,7.612488692138e-06,7.612489,20.333669,0.003253835,607.621887,2.076842e+05,207.684,42.387511
T=255K,1.501000000000e-07,1.501000e-01,7.816002968843e-06,7.816003,20.351428,0.003529149,607.454515,2.076842e+05,207.684,42.183997
T=255K,1.601000000000e-07,1.601000e-01,8.019066448645e-06,8.019066,20.306348,0.003819831,607.277800,2.076842e+05,207.684,41.980934
T=255K,1.701000000000e-07,1.701000e-01,8.221190600684e-06,8.221191,20.212415,0.004125356,607.092061,2.076842e+05,207.684,41.778809
T=255K,1.801000000000e-07,1.801000e-01,8.421999384932e-06,8.421999,20.080878,0.004445229,606.897600,2.076842e+05,207.684,41.578001
T=255K,1.901000000000e-07,1.901000e-01,8.621206783199e-06,8.621207,19.920740,0.004778984,606.694699,2.076842e+05,207.684,41.378793
T=255K,2.001000000000e-07,2.001000e-01,8.818598551811e-06,8.818599,19.739177,0.005126184,606.483625,2.076842e+05,207.684,41.181401
T=255K,2.101000000000e-07,2.101000e-01,9.014017513166e-06,9.014018,19.541896,0.005486416,606.264629,2.076842e+05,207.684,40.985982
T=255K,2.201000000000e-07,2.201000e-01,9.207351756941e-06,9.207352,19.333424,0.005859293,606.037944,2.076842e+05,207.684,40.792648
T=255K,2.301000000000e-07,2.301000e-01,9.398525203449e-06,9.398525,19.117345,0.006244450,605.803795,2.076842e+05,207.684,40.601475
T=255K,2.401000000000e-07,2.401000e-01,9.587490068840e-06,9.587490,18.896487,0.006641545,605.562388,2.076842e+05,207.684,40.412510
T=255K,2.501000000000e-07,2.501000e-01,9.774220853559e-06,9.774221,18.673078,0.007050254,605.313920,2.076842e+05,207.684,40.225779
